LED1, 72.39, 60.96, 0.00, , CHIP-LED0603
LED10, 60.76, 13.61, 90.00, , SML0603
LED11, 64.24, 13.61, 90.00, , SML0603
LED12, 67.74, 13.61, 90.00, , SML0603
LED13, 71.22, 13.61, 90.00, , SML0603
LED14, 74.75, 13.64, 90.00, , SML0603
LED15, 78.26, 13.61, 90.00, , SML0603
LED16, 81.74, 13.64, 90.00, , SML0603
LED17, 85.24, 13.61, 90.00, , SML0603
LED18, 88.75, 13.64, 90.00, , SML0603
LED19, 29.21, 13.61, 90.00, , SML0603
LED2, 32.74, 13.64, 90.00, , SML0603
LED20, 92.25, 13.64, 90.00, , SML0603
LED21, 95.76, 13.64, 90.00, , SML0603
LED22, 99.24, 13.64, 90.00, , SML0603
LED23, 102.74, 13.61, 90.00, , SML0603
LED24, 106.25, 13.61, 90.00, , SML0603
LED25, 109.75, 13.64, 90.00, , SML0603
LED26, 15.06, 13.64, 90.00, , SML0603
LED27, 18.59, 13.64, 90.00, , SML0603
LED28, 22.15, 13.61, 90.00, , SML0603
LED29, 25.70, 13.61, 90.00, , SML0603
LED3, 36.22, 13.64, 90.00, , SML0603
LED4, 39.73, 13.64, 90.00, , SML0603
LED5, 43.23, 13.61, 90.00, , SML0603
LED6, 46.74, 13.61, 90.00, , SML0603
LED7, 50.24, 13.61, 90.00, , SML0603
LED8, 53.72, 13.64, 90.00, , SML0603
LED9, 57.25, 13.64, 90.00, , SML0603
OK1, 29.57, 26.25, 270.00, JC3H7C, MINI-FLAT-4
OK10, 61.09, 26.25, 270.00, JC3H7C, MINI-FLAT-4
OK11, 64.59, 26.25, 270.00, JC3H7C, MINI-FLAT-4
OK12, 68.09, 26.25, 270.00, JC3H7C, MINI-FLAT-4
OK13, 71.59, 26.25, 270.00, JC3H7C, MINI-FLAT-4
OK14, 75.09, 26.25, 270.00, JC3H7C, MINI-FLAT-4
OK15, 78.60, 26.25, 270.00, JC3H7C, MINI-FLAT-4
OK16, 82.10, 26.25, 270.00, JC3H7C, MINI-FLAT-4
OK17, 85.60, 26.25, 270.00, JC3H7C, MINI-FLAT-4
